term,type,estimate,std_error,statistic,p_value,label,feature,anova_p,Delta_adj_R2,adj_r2_full,BIC,adjusted_p,anova_fdr_p
gender1,fixed,-0.0692968272418477,0.018506351394778443,-3.7444888926836093,2.0348321354960765e-4,S.Pe.C._right,SW,0.8995033751554518,0.007350789343126052,0.05710332306873489,-430.63925469653503,0.018321811610560308,0.9212479934255864
gender1,fixed,-0.043911783942565785,0.011824628148346766,-3.713586879153169,2.2971198496359193e-4,OCCIPITAL_left,SW,0.00106430192775866,0.022166250575164637,0.06791405061965261,-837.4417570016099,0.018321811610560308,0.004230600162840673
gender1,fixed,-0.08172862136764728,0.022017348604162316,-3.712010144227662,2.3046303912654476e-4,S.F.inf._left,SW,0.13262804520224164,0.03326081240383838,0.06136929665210311,-204.95805274385253,0.018321811610560308,0.21300867865814566
gender1,fixed,-0.07524969528347439,0.01923534249310099,-3.9120538306226513,1.0555017896993928e-4,S.F.inter._right,SW,0.00992826523462809,0.01603145527837868,0.06408044227972731,-356.1946682403694,0.018321811610560308,0.025976575761273886
gender1,fixed,-0.06566384578941308,0.018558299368359517,-3.5382469312551836,4.4249982870747336e-4,S.F.inf._right,SW,1.6319196971671229e-7,0.053819422888590096,0.08194398403935821,-424.7656451962153,0.028142989105795307,3.0526497864655596e-6
gender1,fixed,-0.0688037581331376,0.0201269078914985,-3.418496199418687,6.856099439433731e-4,S.F.inter._left,SW,0.464966827440206,0.014562687660568896,0.05095043281154876,-281.41212699599396,0.03114628031057038,0.5517143698730803
gender1,fixed,-0.03564454707014958,0.010399108802184505,-3.4276540180694957,6.649187421483727e-4,S.O.T.lat._right,SW,0.2710190912611875,-0.004237724351844219,0.03754702656183084,-942.4183669710017,0.03114628031057038,0.3698887168285735
gender1,fixed,3.9373629112258475,1.1844875345593417,3.324106667522375,9.588658933233721e-4,S.C._right,SL_resid,0.7528292988613485,-0.003048098616157069,0.040958488588789144,3288.8010946709605,0.038114919259604044,0.8060596533262924
gender1,fixed,-0.06225081546512835,0.019141190595813876,-3.2521914012361606,0.001231497204077756,S.T.s._right,SW,0.003398185738508859,0.03430683666349921,0.06550484737886964,-288.1968911361349,0.043512901210747384,0.01102676596781446
